C,C2,CSus2,CSus4,Dm,Dm7,Em,F,G,Am,Am7,Bdim,Fmaj7,G/B,F/C,F/A,C/E
Db,Db2,DbSus2,DbSus4,Ebm,Ebm7,Fm,F#,G#,Bbm,Bbm7,Cdim,Gbmaj7,Ab/C,Gb/Db,Gb/Bb,Db/F
D,D2,DSus2,DSus4,Em,Em7,Gbm,G,A,Bm,Bm7,Dbdim,Gmaj7,A/Db,G/D,G/B,D/F#
Eb,Eb2,EbSus2,EbSus4,Fm,Fm7,Gm,G#,A#,Cm,Cm7,Ddim,Abmaj7,Bb/D,Ab/Eb,Ab/C,Eb/G
E,E2,ESus2,ESus4,Gbm,Gbm7,Abm,A,B,Dbm,Dbm7,Ebdim,Amaj7,B/Eb,A/E,A/Db,E/Ab
F,F2,FSus2,FSus4,Gm,Gm7,Am,A#,C,Dm,Dm7,Edim,Bbmaj7,C/E,Bb/F,Bb/D,F/A
Gb,Gb2,GbSus2,GbSus4,Abm,Abm7,Bbm,B,C#,Ebm,Ebm7,Fdim,Bmaj7,Db/F,B/Gb,B/Eb,Gb/Bb
G,G2,Gsus2,Gsus4,Am,Am7,Bm,C,D,Em,Em7,Gbdim,Cmaj7,D/F#,C/G,C/E,G/B
Ab,Ab2,AbSus2,AbSus4,Bbm,Bbm7,Cm,Db,Eb,Fm,Fm7,Gdim,Dbmaj7,Eb/G,Db/Ab,Db/F,Ab/C
A,A2,Asus2,ASus4,Bm,Bm7,Dbm,D,E,Gbm,Gbm7,Abdim,Dmaj7,E/Ab,D/A,D/F#,A/Db
Bb,Bb2,BbSus2,BbSus4,Cm,Cm7,Dm,Eb,F,Gm,Gm7,Adim,Ebmaj7,F/A,Eb/Bb,Eb/G,Bb/D
B,B2,Bsus2,BSus4,Dbm,Dbm7,Ebm,E,Gb,Abm,Abm7,Bbdim,Emaj7,Gb/Bb,E/B,E/Ab,B/Eb
